l,C_l_GoE,C_l_LCDM,D_l_GoE,D_l_LCDM
2,0.0002820485447431678,3.9147743296626447e-08,0.0002693365205265046,3.7383341139304254e-08
3,0.0001235552167998496,3.8579014004454515e-08,0.00023597308198184227,7.368048934104471e-08
4,6.877987690406947e-05,3.8170112171005456e-08,0.00021893314789069487,1.214992406077527e-07
5,4.365817324213797e-05,3.784530972479091e-08,0.00020845242233545727,1.8069804346632752e-07
6,3.0110097772220524e-05,3.757124009589956e-08,0.0002012711776920248,2.511452403329029e-07
7,2.1989723529076088e-05,3.733026277860516e-08,0.00019598729902509053,3.3271256749552657e-07
8,1.6746114721426313e-05,3.7111933015428365e-08,0.0001918963393559248,4.2527142627125275e-07
9,1.3167095833327559e-05,3.690956701234086e-08,0.0001886047549234902,5.286906033656046e-07
10,1.0617154410288914e-05,3.671863863104877e-08,0.00018587498665641376,6.428348125910079e-07
11,8.737192604004798e-06,3.653594841962531e-08,0.00018355489570087724,7.675637364824735e-07
12,7.311951761467114e-06,3.635915775915382e-08,0.00018154238957196928,9.027313907082698e-07
13,6.206071910661855e-06,3.618651118918525e-08,0.0001797663179613388,1.0481857074796401e-06
14,5.330999101435753e-06,3.601666253263704e-08,0.00017817552030851002,1.2037682739057878e-06
15,4.626838995415477e-06,3.5848561507746483e-08,0.00017673223128257098,1.3693141840060084e-06
16,4.051914030408165e-06,3.568137722434214e-08,0.00017540794396301898,1.5446519767499296e-06
17,3.576502477199105e-06,3.5514445047387095e-08,0.00017418072275735374,1.729603641019884e-06
18,3.1789501379383798e-06,3.534722875502257e-08,0.00017303340487708006,1.9239846738889436e-06
19,2.843180451652572e-06,3.517929299335455e-08,0.00017195236473344666,2.127604182260773e-06
20,2.5570566356078706e-06,3.501028283598971e-08,0.0001709266453956281,2.3402650204051033e-06
21,2.3112783588238296e-06,3.483990835324266e-08,0.00016994733555867876,2.5617639576546796e-06
22,2.0986225660488975e-06,3.466793278235227e-08,0.00016900711446586513,2.791891871758998e-06
23,1.9134110692259897e-06,3.4494163331035894e-08,0.0001680999140684039,3.0304339642783657e-06
