l,C_l_obs,sigma,D_l_obs,D_l_error
2,4.805867087128857e-08,1.7939749694349074e-08,4.5892650165552365e-08,1.713119905012184e-08
3,3.649354348198829e-08,1.508321746684426e-08,6.969753403316945e-08,2.8806823410939362e-08
4,4.677374052290779e-08,1.3283589018159804e-08,1.4888544022236937e-07,4.2282977084826986e-08
5,5.615519519137323e-08,1.2022013481577498e-08,2.6812130684991844e-07,5.740088614531396e-08
6,3.497751767124585e-08,1.1077023458313698e-08,2.3380748304744166e-07,7.404444760169127e-08
7,3.4910157230469936e-08,1.0336281720192133e-08,3.1114294889129547e-07,9.212393842170272e-08
8,5.248720140462322e-08,9.736033192115956e-09,6.014590237876073e-07,1.1156672222150537e-07
9,4.39984381113105e-08,9.237099690281553e-09,6.302312022364111e-07,1.3231170679868321e-07
10,3.2580724144023656e-08,8.813930239845796e-09,5.703921626738308e-07,1.5430586223124524e-07
11,4.1120077420506054e-08,8.449072236471141e-09,8.638691927969363e-07,1.775019326486838e-07
12,3.259150016311972e-08,8.130154835410686e-09,8.091873431835673e-07,2.0185687550466133e-07
13,3.253139929586297e-08,7.848139109220326e-09,9.423110066611687e-07,2.2733076426155353e-07
14,3.785466874906608e-08,7.59625128551264e-09,1.2651991066092339e-06,2.538859976220752e-07
15,2.174901573901677e-08,7.369305049847261e-09,8.307512069395081e-07,2.8148671820046186e-07
16,2.3325349575856965e-08,7.163255788528592e-09,1.0097577541415897e-06,3.1009837832626057e-07
17,3.159254657835879e-08,6.974898544028611e-09,1.5386016455588644e-06,3.3968741173906486e-07
18,2.8458297846265517e-08,6.80165801627661e-09,1.5490133407813917e-06,3.702209831227749e-07
19,3.726634755863054e-08,6.6414392384483904e-09,2.253826901475922e-06,4.0166679593654304e-07
20,2.911491902859559e-08,6.492519269392884e-09,1.946188978070934e-06,4.339929446341685e-07
21,2.5866883055403742e-08,6.353467238919779e-09,1.9019811428991426e-06,4.6716780118308245e-07
22,4.378878875039742e-08,6.2230843851876e-09,3.5264163039060595e-06,5.011599284373811e-07
23,3.311684697033427e-08,6.100358442110973e-09,2.9094318620104996e-06,5.35938014783273e-07
24,3.472256164901192e-08,5.984428493705182e-09,3.315760393951992e-06,5.714708258118992e-07
25,2.577088424908568e-08,5.874557574973376e-09,2.6660163504591852e-06,6.077271697477177e-07
26,3.0819532442236455e-08,5.770111082489828e-09,3.443366814238002e-06,6.446758740792434e-07
27,3.440745383645288e-08,5.670539595250188e-09,4.139943966101921e-06,6.822857713762815e-07
28,2.7176728290441968e-08,5.575365080936393e-09,3.512152243325225e-06,7.205256926844533e-07
29,3.54674573709382e-08,5.484169727698468e-09,4.910994408752727e-06,7.593644671987861e-07
30,2.997642278883805e-08,5.396586831531893e-09,4.436933152642187e-06,7.98770927158525e-07
35,3.077668970227301e-08,5.002758404912033e-09,6.17181049563395e-06,1.0032292988377075e-06
40,2.8390919846755577e-08,4.663468523621552e-09,7.4104305813605905e-06,1.2172310706800466e-06
45,3.818611295034025e-08,4.361764366304597e-09,1.2580442871370027e-05,1.4369864641638928e-06
50,2.8919170226656786e-08,4.0874352197957144e-09,1.1736703673805406e-05,1.658865575485909e-06
55,2.3753710027295156e-08,3.83413013927494e-09,1.1644002732255876e-05,1.8794799534995294e-06
60,2.9581106180311824e-08,3.597823125293683e-09,1.72312041308456e-05,2.0957574852246053e-06
65,2.1301346877660945e-08,3.3759373792875656e-09,1.4544020848906907e-05,2.3050046511591304e-06
70,2.4884215600220962e-08,3.1668172314065022e-09,1.968341621116592e-05,2.504952642747269e-06
75,1.7212328196568025e-08,2.9693954754277362e-09,1.5614734553241715e-05,2.6937856170814873e-06
80,1.8161278370009653e-08,2.7829767363386445e-09,1.8730162820948115e-05,2.870150786555335e-06
85,2.1222752137669553e-08,2.6070931649819243e-09,2.4691030192773884e-05,3.033151197091242e-06
90,2.1397043910887955e-08,2.441407187458923e-09,2.7890597055911976e-05,3.182322960050345e-06
95,1.8909051037122513e-08,2.285646011373714e-09,2.7446356748623e-05,3.3175993711198168e-06
100,1.723648685199872e-08,2.1395582085398245e-09,2.7707048048743994e-05,3.4392647757117284e-06
105,1.5894390268856405e-08,2.0028859758677963e-09,2.815523576715601e-05,3.547901235052882e-06
110,1.2787830868685285e-08,1.8753486646396287e-09,2.485035969386929e-05,3.6443310320778024e-06
115,1.3410337109310085e-08,1.7566344207596692e-09,2.8471848002601552e-05,3.7295578639320577e-06
120,1.3082560434547801e-08,1.6463976023356076e-09,3.0232878424351817e-05,3.8047092385762975e-06
125,1.4691287222339716e-08,1.5442602095417028e-09,3.682650796363612e-05,3.8709821708568376e-06
130,1.2825811646677949e-08,1.4498159744067657e-09,3.476319122616679e-05,3.929593802674316e-06
135,9.243638975251538e-09,1.3626360720856435e-09,2.7010696531851863e-05,3.981738093082371e-06
140,1.1427713804530193e-08,1.282275663142731e-09,3.5902660748149476e-05,4.0285492712612175e-06
145,9.958509546444609e-09,1.2082806771431889e-09,3.3553307246458814e-05,4.07107234381464e-06
150,9.10665378862732e-09,1.140194412097045e-09,3.28282070682709e-05,4.110240613863202e-06
155,1.0032629547044429e-08,1.0775636582715874e-09,3.8609235696158116e-05,4.146859909930437e-06
160,9.957668051349351e-09,1.0199441625408664e-09,4.082475949096303e-05,4.181599036563599e-06
165,9.373891113220186e-09,9.669053337401218e-10,4.086317131180585e-05,4.2149858386127936e-06
170,7.3022309825297716e-09,9.180341531042451e-10,3.378475156853641e-05,4.247408205555512e-06
175,7.431107034709683e-09,8.729382994975552e-10,3.642708045034529e-05,4.279119317681494e-06
180,7.631231952227933e-09,8.312485296273172e-10,3.956998319299766e-05,4.310246438906108e-06
185,7.80787458159333e-09,7.926203717049519e-10,4.2759993732100725e-05,4.340802579736464e-06
190,6.372334383225243e-09,7.567351999746576e-10,3.680490125016687e-05,4.370700379583028e-06
195,6.3202714094433265e-09,7.233007598886438e-10,3.844559112284982e-05,4.3997675846605145e-06
200,5.425797947326413e-09,6.920512118754038e-10,3.4714411054101286e-05,4.4277635239568255e-06
205,5.150934247425861e-09,6.627467576061547e-10,3.462001240361903e-05,4.454396011801082e-06
210,6.225805722302388e-09,6.351729079181507e-10,4.390535024329086e-05,4.4793381340660865e-06
215,6.3140634394956275e-09,6.09139447113368e-10,4.6668225079263287e-05,4.502244409634164e-06
220,5.234943024600501e-09,5.844791447687122e-10,4.050858241682631e-05,4.522765863069994e-06
225,5.638906041604336e-09,5.610462636299407e-10,4.563582931223342e-05,4.540563601233138e-06
230,5.0782831415975954e-09,5.387149104775254e-10,4.294146521586404e-05,4.555320557069296e-06
235,4.365168070504116e-09,5.173772757144201e-10,3.853017368651018e-05,4.56675114743701e-06
240,4.701170368851071e-09,4.969418064051204e-10,4.3276726825745054e-05,4.574608686079712e-06
245,5.084931542344093e-09,4.773313561606175e-10,4.877602825224441e-05,4.578690493646163e-06
250,4.169613757197422e-09,4.5848135325046703e-10,4.164181867518171e-05,4.5788407487508965e-06
255,4.715920226898701e-09,4.4033802538182935e-10,4.89966883612634e-05,4.574951221648606e-06
260,2.7653908215057086e-09,4.2285671560557275e-10,2.9866924493368868e-05,4.566960119448536e-06
265,4.0581152979301346e-09,4.060003188211161e-10,4.552731351472762e-05,4.554849343850888e-06
270,3.614413490761617e-09,3.8973786250823896e-10,4.2091172262073876e-05,4.53864051520847e-06
275,3.3293362237402594e-09,3.7404324886379074e-10,4.0217916077238356e-05,4.518390147799961e-06
280,3.3392692994632574e-09,3.5889416877110295e-10,4.1815368421738584e-05,4.494184369613291e-06
285,2.491568960290701e-09,3.442711913087419e-10,3.2322425016055695e-05,4.4661335662837386e-06
290,2.977018838424239e-09,3.3015702613017983e-10,3.998459499317148e-05,4.434367295086611e-06
295,3.0404099156039564e-09,3.1653595029551273e-10,4.225382204264651e-05,4.399029764126319e-06
300,3.2575941230941186e-09,3.033933862321866e-10,4.6817137317161605e-05,4.360276107957769e-06
320,2.24256115721106e-09,2.5534366203200675e-10,3.66622773015305e-05,4.174459240276877e-06
340,1.8250115834181182e-09,2.1396764626462313e-10,3.367588772842935e-05,3.94822175299745e-06
360,1.5847121856227898e-09,1.7867062536801556e-10,3.277783251246887e-05,3.6955832651146772e-06
380,1.5378196163439092e-09,1.49060274387551e-10,3.5435135710522744e-05,3.4347143161876523e-06
400,1.2183680953736913e-09,1.248648379899771e-10,3.110305250342259e-05,3.187606131989555e-06
420,9.437455645627192e-10,1.057540092069846e-10,2.6558677258062036e-05,2.9761057479256274e-06
440,9.107642179294526e-10,9.116861981676449e-11,2.812660779638213e-05,2.8155080782084843e-06
460,7.699746288226756e-10,8.024962158241556e-11,2.59869495813789e-05,2.7084566061296087e-06
480,7.537673458916741e-10,7.188505348888277e-11,2.7697703682336358e-05,2.6414661255571472e-06
500,5.728404974777446e-10,6.485227240629388e-11,2.2838184392589265e-05,2.5855507109130515e-06
520,5.352924612349919e-10,5.803207710387125e-11,2.3080878011360393e-05,2.502242025396854e-06
540,4.647661356057693e-10,5.065483214122203e-11,2.160954551200676e-05,2.3552230179853325e-06
560,3.4492758811105545e-10,4.24879860778163e-11,1.7246419735089944e-05,2.1244042716604946e-06
580,3.348624501107322e-10,3.3853828271139566e-11,1.795935388207854e-05,1.8156496256401985e-06
600,2.510422852416441e-10,2.5437324700962694e-11,1.4407636196038336e-05,1.4598804330481564e-06
620,1.7296110450187463e-10,1.7969920707598248e-11,1.0598682228776162e-05,1.101157857453865e-06
640,1.1228844198165103e-10,1.1949960342526634e-11,7.331505945864009e-06,7.802335107507291e-07
660,6.187697567217121e-11,7.521805603929995e-12,4.296300059126977e-06,5.22261043140154e-07
680,4.1774472178584874e-11,4.525426350477083e-12,3.0788400517734666e-06,3.335305791449945e-07
700,2.458446990635654e-11,2.638262187548361e-12,1.919981473292612e-06,2.060412342049963e-07
720,1.3433262516578427e-11,1.514833217405262e-12,1.109863054593955e-06,1.2515629913395187e-07
740,8.286657774277203e-12,8.706948099501536e-13,7.231850887407365e-07,7.59864254747534e-08
760,5.120181126686671e-12,5.074163780315714e-13,4.713067992832736e-07,4.6707095533694036e-08
780,3.494108378288045e-12,3.0172370966247017e-13,3.3876781247455784e-07,2.9253323030622194e-08
800,1.8066503617191045e-12,1.8293005706204657e-13,1.8425392459247307e-07,1.8656393984021807e-08
820,1.1205859542577556e-12,1.1243962730755948e-13,1.2006662850821502e-07,1.2047489003626746e-08
840,6.706213000209681e-13,6.956105907281117e-14,7.540024494351139e-08,7.820987631105719e-09
860,3.3594472125241954e-13,4.305450411421518e-14,3.9590369555760857e-08,5.07388156767928e-09
880,2.577080051985426e-13,2.656481278468384e-14,3.179849908962991e-08,3.2778227998744963e-09
900,1.597726870948261e-13,1.6313893334482585e-14,2.0620062218625155e-08,2.105450572946761e-09
920,1.2162675799695848e-13,9.967578938287412e-15,1.640199668601582e-08,1.3441795161347603e-09
940,5.788011338720158e-14,6.0594929849259706e-15,8.148299467948823e-09,8.530488379456007e-10
960,3.686592204911816e-14,3.667883602919693e-15,5.413022755634978e-09,5.385552918267408e-10
980,2.1535028214620522e-14,2.215612838294683e-15,3.2950397629232513e-09,3.390073292993301e-10
1000,1.1525423249479984e-14,1.3416571025547597e-15,1.8361624094623754e-09,2.1374489116574592e-10
1020,8.942355859882087e-15,8.19911093774726e-16,1.4821699161024324e-09,1.3589791953186298e-10
1040,5.357316846358844e-15,5.092511092147137e-16,9.231059131607054e-10,8.774778936572581e-11
1060,3.4100172771340074e-15,3.2281695207289093e-16,6.103767187192904e-10,5.778268435015624e-11
1080,1.8485103200181025e-15,2.0847145978284907e-16,3.4347209622303304e-10,3.87361263385263e-11
1100,1.5200591363165578e-15,1.3592486266088585e-16,2.9299527707537105e-10,2.6199864100855767e-11
1120,7.392164943698021e-16,8.818848187138372e-17,1.4771187664171927e-10,1.7622017710131978e-11
1140,5.809258845973677e-16,5.599496754652204e-17,1.2026281228213065e-10,1.1592033423435254e-11
1160,4.1047257675929755e-16,3.4258144632407873e-17,8.798213333684051e-11,7.343011006284003e-12
1180,1.756312744971164e-16,1.994860721008352e-17,3.895416409794832e-11,4.424504240558063e-12
1200,1.0123323586962577e-16,1.0965777256208147e-17,2.3220282771000347e-11,2.5152653326313035e-12
1220,5.61212806235892e-17,5.668298976046333e-18,1.3305254891493447e-11,1.3438425110667843e-12
1240,2.5634964764799358e-17,2.756184863401267e-18,6.278361571413118e-12,6.750282393151738e-13
1260,1.04573019669897e-17,1.2665209554353607e-18,2.6443894284457334e-12,3.202713889328731e-13
1280,5.482021723205627e-18,5.549242802421983e-19,1.4306058057582107e-12,1.4481480321578568e-13
1300,2.055142913796558e-18,2.3485109702098887e-19,5.532008113993337e-13,6.321692596551738e-14
1320,1.0036721897500067e-18,9.754350587309867e-20,2.785407695537921e-13,2.7070435415407068e-14
1340,3.597379611717616e-19,4.042390927581725e-20,1.0288213706021595e-13,1.1560909949780487e-14
1360,1.927086873168235e-19,1.694724385231526e-20,5.676994302051905e-14,4.992478965253105e-15
1380,6.548838919694635e-20,7.24394769131641e-21,1.9863565415004433e-14,2.1971929771643136e-15
1400,3.0023308729193333e-20,3.158994024237044e-21,9.372271365950447e-15,9.86132125063782e-16
1420,1.4883505517314784e-20,1.3985579905697823e-21,4.779778668732129e-15,4.491413425777637e-16
1440,5.367147658947096e-21,6.240886799386719e-22,1.7725159347911721e-15,2.0610707962729955e-16
1460,2.8059784326207507e-21,2.789087986568393e-22,9.5259332056414e-16,9.468592329803672e-17
1480,1.3852222415045767e-21,1.2431945816356692e-22,4.832327519036627e-16,4.3368661059254453e-17
1500,4.539910610567845e-22,5.51632349292238e-23,1.6268195572735397e-16,1.9767047663106194e-17
1520,2.44113252380885e-22,2.4352486431655014e-23,8.982232464153629e-17,8.960582519624017e-18
1540,1.0804377407049146e-22,1.0695873776501079e-23,4.0807805191526496e-17,4.039799027566748e-18
1560,4.9687717219262805e-23,4.6763292135541636e-24,1.9257356825908057e-17,1.8123943972599876e-18
1580,1.7552367250907818e-23,2.0389509958587315e-24,6.978222064423591e-18,8.10617315840629e-19
1600,7.590336175532055e-24,8.901626520606808e-25,3.0945140397221103e-18,3.629115708099656e-19
1620,4.0613701060742575e-24,3.916027205959058e-25,1.6974255261525247e-18,1.6366803238545133e-19
1640,1.7743839291513628e-24,1.7485078569491748e-25,7.600114865357775e-19,7.489281399291062e-20
1660,8.04638482669978e-25,7.964152740693121e-26,3.531007592902769e-19,3.4949215584508424e-20
1680,3.7733841884631333e-25,3.6990617503635883e-26,1.6960089982987328e-19,1.6626035676569966e-20
1700,1.5955285849177607e-25,1.738782666183171e-26,7.343074863214148e-20,8.002370756209442e-21
1720,8.233472746764013e-26,8.160000589516982e-27,3.878934991667672e-20,3.8443209557165815e-21
1740,3.8179186117636693e-26,3.760585459299487e-27,1.8407500339269527e-20,1.8131077468393215e-21
1760,1.531997548229036e-26,1.674936928250067e-27,7.557013980876104e-21,8.262103159697167e-22
1780,8.345864005184274e-27,7.116032662233551e-28,4.210904160620972e-21,3.590392980990394e-22
1800,2.954356450324798e-27,2.8578167772679655e-28,1.5242957628066638e-21,1.4744862638319911e-22
1820,9.365619264743504e-28,1.079717690640044e-28,4.940125296659667e-22,5.695235441463271e-23
1840,4.0364187047032276e-28,3.835650285824739e-29,2.1761456185982733e-22,2.0679057785176965e-23
1860,1.357762606777529e-28,1.526674657103755e-29,7.48002919392779e-23,8.410579984868368e-24
1880,1.626099714718351e-28,1.5258892396021787e-29,9.151956560303074e-23,8.587955529585601e-24
1900,1.6821391638088357e-28,1.5251146954739852e-29,9.669806234774921e-23,8.767148347969361e-24
1920,1.3797860673250422e-28,1.524350745756486e-29,8.099542348402748e-23,8.948157769856247e-24
1940,1.6511192687825746e-28,1.5235971217128377e-29,9.895228848761108e-23,9.130983132295797e-24
1960,1.5666585800887944e-28,1.522853564350109e-29,9.583588510759767e-23,9.315623779399397e-24
